acronym,color_hex_triplet,graph_order,id,name,parent_structure_id,st_level,structure_id_path
NP,D7D8D8,0,10153,"neural plate",,,/10153/
NT,D0D0D1,1,10154,"neural tube",10153,,/10153/10154/
Br,E0E0E0,2,10155,brain,10154,,/10153/10154/10155/
F,EBD6D0,3,10156,"forebrain (prosencephalon)",10155,,/10153/10154/10155/10156/
FGM,EBD6D0,4,10157,"gray matter of forebrain",10156,,/10153/10154/10155/10156/10157/
FTS,E3D6D7,5,10506,"transient structures of forebrain",10157,,/10153/10154/10155/10156/10157/10506/
SG,81696B,6,11580,"subpial granular zone",10506,,/10153/10154/10155/10156/10157/10506/11580/
fSG,8D762D,7,11581,"SG in frontal neocortex",11580,,/10153/10154/10155/10156/10157/10506/11580/11581/
fSGfp,806D2C,8,11587,"SG in frontal polar cortex",11581,,/10153/10154/10155/10156/10157/10506/11580/11581/11587/
fSGdm,806D2C,9,11582,"SG in dorsomedial frontal cortex",11581,,/10153/10154/10155/10156/10157/10506/11580/11581/11582/
fSGdl,806D2C,10,11585,"SG in dorsolateral prefrontal cortex",11581,,/10153/10154/10155/10156/10157/10506/11580/11581/11585/
fSGvl,806D2C,11,11586,"SG in ventrolateral prefrontal cortex",11581,,/10153/10154/10155/10156/10157/10506/11580/11581/11586/
fSGor,8E712C,12,11583,"SG in orbital frontal cortex",11581,,/10153/10154/10155/10156/10157/10506/11580/11581/11583/
fSGm1,7B7248,13,11584,"SG in posterior frontal cortex (motor cortex)",11581,,/10153/10154/10155/10156/10157/10506/11580/11581/11584/
pSG,AE7B2C,14,11593,"SG in parietal neocortex",11580,,/10153/10154/10155/10156/10157/10506/11580/11593/
pSGs1,B45D27,15,11594,"SG in primary somatosensory cortex",11593,,/10153/10154/10155/10156/10157/10506/11580/11593/11594/
pSGdm,AE7B2C,16,11597,"SG in dorsomedial parietal cortex (area 7m)",11593,,/10153/10154/10155/10156/10157/10506/11580/11593/11597/
pSGpd,AE7B2C,17,11595,"SG in posterosuperior (dorsal) parietal cortex",11593,,/10153/10154/10155/10156/10157/10506/11580/11593/11595/
pSGpv,AE7B2C,18,11596,"SG in posteroinferior (ventral) parietal cortex",11593,,/10153/10154/10155/10156/10157/10506/11580/11593/11596/
