acronym,color_hex_triplet,graph_order,id,name,parent_structure_id,st_level,structure_id_path
root,FFFFFF,0,997,root,,,/997/
grey,BFDAE3,1,8,"Basic cell groups and regions",997,,/997/8/
CH,B0F0FF,2,567,Cerebrum,8,,/997/8/567/
CTX,B0FFB8,3,688,"Cerebral cortex",567,,/997/8/567/688/
CTXpl,70FF70,4,695,"Cortical plate",688,,/997/8/567/688/695/
Isocortex,70FF71,5,315,Isocortex,695,,/997/8/567/688/695/315/
FRP,268F45,6,184,"Frontal pole, cerebral cortex",315,,/997/8/567/688/695/315/184/
FRP1,268F45,7,68,"Frontal pole, layer 1",184,,/997/8/567/688/695/315/184/68/
FRP2/3,268F45,8,667,"Frontal pole, layer 2/3",184,,/997/8/567/688/695/315/184/667/
MO,1F9D5A,9,500,"Somatomotor areas",315,,/997/8/567/688/695/315/500/
MO1,1F9D5A,10,107,"Somatomotor areas, Layer 1",500,,/997/8/567/688/695/315/500/107/
MO2/3,1F9D5A,11,219,"Somatomotor areas, Layer 2/3",500,,/997/8/567/688/695/315/500/219/
MO5,1F9D5A,12,299,"Somatomotor areas, Layer 5",500,,/997/8/567/688/695/315/500/299/
MO6a,1F9D5A,13,644,"Somatomotor areas, Layer 6a",500,,/997/8/567/688/695/315/500/644/
MO6b,1F9D5A,14,947,"Somatomotor areas, Layer 6b",500,,/997/8/567/688/695/315/500/947/
MOp,1F9D5A,15,985,"Primary motor area",500,,/997/8/567/688/695/315/500/985/
MOp1,1F9D5A,16,320,"Primary motor area, Layer 1",985,,/997/8/567/688/695/315/500/985/320/
MOp2/3,1F9D5A,17,943,"Primary motor area, Layer 2/3",985,,/997/8/567/688/695/315/500/985/943/
MOp5,1F9D5A,18,648,"Primary motor area, Layer 5",985,,/997/8/567/688/695/315/500/985/648/
MOp6a,1F9D5A,19,844,"Primary motor area, Layer 6a",985,,/997/8/567/688/695/315/500/985/844/
MOp6b,1F9D5A,20,882,"Primary motor area, Layer 6b",985,,/997/8/567/688/695/315/500/985/882/
MOs,1F9D5A,21,993,"Secondary motor area",500,,/997/8/567/688/695/315/500/993/
MOs1,1F9D5A,22,656,"Secondary motor area, layer 1",993,,/997/8/567/688/695/315/500/993/656/
MOs2/3,1F9D5A,23,962,"Secondary motor area, layer 2/3",993,,/997/8/567/688/695/315/500/993/962/
MOs5,1F9D5A,24,767,"Secondary motor area, layer 5",993,,/997/8/567/688/695/315/500/993/767/
MOs6a,1F9D5A,25,1021,"Secondary motor area, layer 6a",993,,/997/8/567/688/695/315/500/993/1021/
MOs6b,1F9D5A,26,1085,"Secondary motor area, layer 6b",993,,/997/8/567/688/695/315/500/993/1085/
SS,188064,27,453,"Somatosensory areas",315,,/997/8/567/688/695/315/453/
SS1,188064,28,12993,"Somatosensory areas, layer 1",453,,/997/8/567/688/695/315/453/12993/
SS2/3,188064,29,12994,"Somatosensory areas, layer 2/3",453,,/997/8/567/688/695/315/453/12994/
SS4,188064,30,12995,"Somatosensory areas, layer 4",453,,/997/8/567/688/695/315/453/12995/
SS5,188064,31,12996,"Somatosensory areas, layer 5",453,,/997/8/567/688/695/315/453/12996/
SS6a,188064,32,12997,"Somatosensory areas, layer 6a",453,,/997/8/567/688/695/315/453/12997/
SS6b,188064,33,12998,"Somatosensory areas, layer 6b",453,,/997/8/567/688/695/315/453/12998/
SSp,188064,34,322,"Primary somatosensory area",453,,/997/8/567/688/695/315/453/322/
SSp1,188064,35,793,"Primary somatosensory area, layer 1",322,,/997/8/567/688/695/315/453/322/793/
SSp2/3,188064,36,346,"Primary somatosensory area, layer 2/3",322,,/997/8/567/688/695/315/453/322/346/
SSp4,188064,37,865,"Primary somatosensory area, layer 4",322,,/997/8/567/688/695/315/453/322/865/
SSp5,188064,38,921,"Primary somatosensory area, layer 5",322,,/997/8/567/688/695/315/453/322/921/
SSp6a,188064,39,686,"Primary somatosensory area, layer 6a",322,,/997/8/567/688/695/315/453/322/686/
SSp6b,188064,40,719,"Primary somatosensory area, layer 6b",322,,/997/8/567/688/695/315/453/322/719/
SSp-n,188064,41,353,"Primary somatosensory area, nose",322,,/997/8/567/688/695/315/453/322/353/
SSp-n1,188064,42,558,"Primary somatosensory area, nose, layer 1",353,,/997/8/567/688/695/315/453/322/353/558/
SSp-n2/3,188064,43,838,"Primary somatosensory area, nose, layer 2/3",353,,/997/8/567/688/695/315/453/322/353/838/
SSp-n4,188064,44,654,"Primary somatosensory area, nose, layer 4",353,,/997/8/567/688/695/315/453/322/353/654/
SSp-n5,188064,45,702,"Primary somatosensory area, nose, layer 5",353,,/997/8/567/688/695/315/453/322/353/702/
SSp-n6a,188064,46,889,"Primary somatosensory area, nose, layer 6a",353,,/997/8/567/688/695/315/453/322/353/889/
SSp-n6b,188064,47,929,"Primary somatosensory area, nose, layer 6b",353,,/997/8/567/688/695/315/453/322/353/929/
SSp-bfd,188064,48,329,"Primary somatosensory area, barrel field",322,,/997/8/567/688/695/315/453/322/329/
SSp-bfd1,188064,49,981,"Primary somatosensory area, barrel field, layer 1",329,,/997/8/567/688/695/315/453/322/329/981/
SSp-bfd2/3,188064,50,201,"Primary somatosensory area, barrel field, layer 2/3",329,,/997/8/567/688/695/315/453/322/329/201/
SSp-bfd4,188064,51,1047,"Primary somatosensory area, barrel field, layer 4",329,,/997/8/567/688/695/315/453/322/329/1047/
SSp-bfd5,188064,52,1070,"Primary somatosensory area, barrel field, layer 5",329,,/997/8/567/688/695/315/453/322/329/1070/
SSp-bfd6a,188064,53,1038,"Primary somatosensory area, barrel field, layer 6a",329,,/997/8/567/688/695/315/453/322/329/1038/
SSp-bfd6b,188064,54,1062,"Primary somatosensory area, barrel field, layer 6b",329,,/997/8/567/688/695/315/453/322/329/1062/
SSp-ll,188064,55,337,"Primary somatosensory area, lower limb",322,,/997/8/567/688/695/315/453/322/337/
SSp-ll1,188064,56,1030,"Primary somatosensory area, lower limb, layer 1",337,,/997/8/567/688/695/315/453/322/337/1030/
SSp-ll2/3,188064,57,113,"Primary somatosensory area, lower limb, layer 2/3",337,,/997/8/567/688/695/315/453/322/337/113/
SSp-ll4,188064,58,1094,"Primary somatosensory area, lower limb, layer 4",337,,/997/8/567/688/695/315/453/322/337/1094/
SSp-ll5,188064,59,1128,"Primary somatosensory area, lower limb, layer 5",337,,/997/8/567/688/695/315/453/322/337/1128/
SSp-ll6a,188064,60,478,"Primary somatosensory area, lower limb, layer 6a",337,,/997/8/567/688/695/315/453/322/337/478/
SSp-ll6b,188064,61,510,"Primary somatosensory area, lower limb, layer 6b",337,,/997/8/567/688/695/315/453/322/337/510/
SSp-m,188064,62,345,"Primary somatosensory area, mouth",322,,/997/8/567/688/695/315/453/322/345/
SSp-m1,188064,63,878,"Primary somatosensory area, mouth, layer 1",345,,/997/8/567/688/695/315/453/322/345/878/
SSp-m2/3,188064,64,657,"Primary somatosensory area, mouth, layer 2/3",345,,/997/8/567/688/695/315/453/322/345/657/
SSp-m4,188064,65,950,"Primary somatosensory area, mouth, layer 4",345,,/997/8/567/688/695/315/453/322/345/950/
SSp-m5,188064,66,974,"Primary somatosensory area, mouth, layer 5",345,,/997/8/567/688/695/315/453/322/345/974/
SSp-m6a,188064,67,1102,"Primary somatosensory area, mouth, layer 6a",345,,/997/8/567/688/695/315/453/322/345/1102/
SSp-m6b,188064,68,2,"Primary somatosensory area, mouth, layer 6b",345,,/997/8/567/688/695/315/453/322/345/2/
SSp-ul,188064,69,369,"Primary somatosensory area, upper limb",322,,/997/8/567/688/695/315/453/322/369/
SSp-ul1,188064,70,450,"Primary somatosensory area, upper limb, layer 1",369,,/997/8/567/688/695/315/453/322/369/450/
SSp-ul2/3,188064,71,854,"Primary somatosensory area, upper limb, layer 2/3",369,,/997/8/567/688/695/315/453/322/369/854/
SSp-ul4,188064,72,577,"Primary somatosensory area, upper limb, layer 4",369,,/997/8/567/688/695/315/453/322/369/577/
SSp-ul5,188064,73,625,"Primary somatosensory area, upper limb, layer 5",369,,/997/8/567/688/695/315/453/322/369/625/
SSp-ul6a,188064,74,945,"Primary somatosensory area, upper limb, layer 6a",369,,/997/8/567/688/695/315/453/322/369/945/
SSp-ul6b,188064,75,1026,"Primary somatosensory area, upper limb, layer 6b",369,,/997/8/567/688/695/315/453/322/369/1026/
SSp-tr,188064,76,361,"Primary somatosensory area, trunk",322,,/997/8/567/688/695/315/453/322/361/
SSp-tr1,188064,77,1006,"Primary somatosensory area, trunk, layer 1",361,,/997/8/567/688/695/315/453/322/361/1006/
SSp-tr2/3,188064,78,670,"Primary somatosensory area, trunk, layer 2/3",361,,/997/8/567/688/695/315/453/322/361/670/
SSp-tr4,188064,79,1086,"Primary somatosensory area, trunk, layer 4",361,,/997/8/567/688/695/315/453/322/361/1086/
